Name,Region,Cases_total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases_24hours,Deaths_total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths_24hours,Transmission Classification
Global,,98794942,12655.778931983245,3999390,514098,2124193,272.11228097958985,95928,11434,
United States of America,Americas,24775208,74848.97,1218532,170883,414083,1251,21442,3416,Community transmission
India,South-East Asia,10667736,7730.22,95963,13203,153470,111.21,1051,131,Clusters of cases
Brazil,Americas,8816254,41476.66,361195,62334,216445,1018.28,7149,1202,Community transmission
Russian Federation,Europe,3738690,25618.97,147624,19290,69918,479.11,3881,456,Clusters of cases
The United Kingdom,Europe,3647467,53729.29,251504,30004,97939,1442.7,8678,610,Community transmission
France,Europe,3003694,46017.04,140081,18435,72656,1113.1,2762,172,Community transmission
Italy,Europe,2466813,40799.51,85536,11628,85461,1413.47,3284,299,Clusters of cases
Spain,Europe,2456675,52543.83,87534,0,55041,1177.23,660,0,Community transmission
Turkey,Europe,2429605,28807.59,42504,5277,25073,297.29,1076,140,Community transmission
Germany,Europe,2141665,25561.76,101006,6729,52087,621.68,5454,217,Community transmission
Colombia,Americas,2002969,39364.29,111935,15551,50982,1001.95,2726,396,Community transmission
Argentina,Americas,1862192,41202.79,70213,8362,46737,1034.1,1442,162,Community transmission
Mexico,Americas,1752347,13591.17,122089,20057,149084,1156.29,8843,1470,Community transmission
Poland,Europe,1478119,39055.52,39205,2674,35401,935.38,1994,38,Community transmission
South Africa,Africa,1412986,23824.27,75060,8147,40874,689.17,3769,300,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1372977,16346.34,42566,5945,57383,683.19,580,89,Community transmission
Ukraine,Europe,1194328,27309.06,30612,2516,21924,501.31,1055,63,Community transmission
Peru,Americas,1093938,33177.93,33371,5842,39608,1201.27,838,181,Community transmission
Indonesia,South-East Asia,989262,3616.73,81333,11788,27835,101.76,1848,171,Community transmission
Netherlands,Europe,948933,55380.22,36685,4924,13540,790.2,551,30,Community transmission
Czechia,Europe,940004,87777.17,48152,2387,15453,1442.99,1004,84,Community transmission
Canada,Americas,742531,19673.78,40348,5124,18974,502.73,1109,146,Community transmission
Romania,Europe,711010,36959.22,17366,1816,17776,924.02,555,54,Community transmission
Chile,Americas,699110,36571.6,29278,4463,17933,938.1,456,79,Community transmission
Belgium,Europe,693666,59852.34,13435,0,20779,1792.9,305,0,Community transmission
Portugal,Europe,636190,62391.7,86389,11721,10469,1026.7,1608,275,Clusters of cases
Iraq,Eastern Mediterranean,613763,15259.2,5531,893,12993,323.03,49,5,Community transmission
Israel,Europe,569152,65755.84,24361,0,4158,480.39,177,0,Community transmission
Sweden,Europe,547166,54178.79,17275,0,11005,1089.68,68,0,Community transmission
Pakistan,Eastern Mediterranean,532412,2410.28,13121,1594,11295,51.13,344,48,Community transmission
Bangladesh,South-East Asia,531799,3229.1,4167,473,8023,48.72,117,20,Community transmission
Philippines,Western Pacific,513619,4687.11,13042,1940,10242,93.47,347,52,Community transmission
Switzerland,Europe,506775,58555.42,10865,0,8300,959.03,292,0,Community transmission
Morocco,Eastern Mediterranean,466289,12632.94,6618,520,8150,220.8,208,22,Clusters of cases
Austria,Europe,401534,44583.2,10421,1347,7362,817.42,348,44,Community transmission
Serbia,Europe,383603,55085.58,11070,1318,3886,558.03,136,18,Community transmission
Saudi Arabia,Eastern Mediterranean,366371,10523.71,1442,186,6352,182.46,29,2,Sporadic cases
Japan,Western Pacific,364813,2884.43,36519,4152,5084,40.2,583,65,Clusters of cases
Hungary,Europe,360418,37309,7715,844,12024,1244.68,615,56,Community transmission
Jordan,Eastern Mediterranean,320453,31407.31,5939,934,4224,413.99,79,7,Community transmission
Panama,Americas,309851,71811.76,13582,2058,5034,1166.69,296,54,Community transmission
Lebanon,Eastern Mediterranean,279597,40963.92,26785,3010,2340,342.83,434,60,Community transmission
United Arab Emirates,Eastern Mediterranean,277955,28103.51,24694,3579,792,80.08,47,9,Community transmission
Nepal,South-East Asia,269450,9247.75,2128,270,2001,68.68,42,7,Clusters of cases
Georgia,Europe,253816,63626.32,5901,298,3071,769.83,113,16,Community transmission
Ecuador,Americas,241292,13676.32,9810,3060,14623,828.82,304,27,Community transmission
Belarus,Europe,237611,25145.82,12150,1752,1649,174.51,67,10,Community transmission
Slovakia,Europe,237027,43414.39,12642,551,4068,745.1,542,0,Clusters of cases
Croatia,Europe,229054,55795.15,3926,134,4859,1183.6,204,32,Community transmission
Azerbaijan,Europe,228975,22583.19,1702,287,3082,303.97,73,10,Clusters of cases
Kazakhstan,Europe,224395,11950.71,7431,0,2956,157.43,0,0,Clusters of cases
Bulgaria,Europe,214817,30915.84,3004,121,8820,1269.35,337,9,Clusters of cases
Dominican Republic,Americas,203946,18800.49,10828,1439,2513,231.66,76,0,Community transmission
Bolivia (Plurinational State of),Americas,199989,17132.58,14309,1732,9927,850.42,331,56,Community transmission
Tunisia,Eastern Mediterranean,197373,16700.17,17283,2059,6234,527.47,542,80,Community transmission
Denmark,Europe,194671,33609.15,5583,754,1983,342.36,208,14,Community transmission
Costa Rica,Americas,189308,37162.08,4163,0,2518,494.3,75,0,Community transmission
Ireland,Europe,187554,37983.42,14828,1370,2970,601.48,362,23,Community transmission
Malaysia,Western Pacific,183801,5678.83,25367,3346,678,20.95,77,11,Clusters of cases
Lithuania,Europe,177166,65079.79,9174,542,2664,978.59,195,15,Community transmission
occupied Palestinian territory, including east Jerusalem,Eastern Mediterranean,174946,34293.63,3731,533,1962,384.6,81,11,Community transmission
Armenia,Europe,166094,56051.43,1418,58,3047,1028.27,49,8,Community transmission
Egypt,Eastern Mediterranean,161817,1581.26,5420,674,8959,87.55,376,57,Clusters of cases
Kuwait,Eastern Mediterranean,161285,37766.61,3508,384,952,222.92,5,0,Community transmission
Slovenia,Europe,157838,75922.42,8707,545,3578,1721.07,217,23,Clusters of cases
Republic of Moldova,Europe,156202,38721.72,3348,265,3361,833.18,111,14,Community transmission
Guatemala,Americas,154212,8607.71,5324,322,5465,305.04,211,9,Community transmission
Greece,Europe,151980,14581.14,3373,334,5646,541.68,177,24,Community transmission
Qatar,Eastern Mediterranean,149019,51723.8,1742,247,248,86.08,2,0,Community transmission
Honduras,Americas,140238,14158.87,6731,1056,3441,347.41,93,2,Community transmission
Myanmar,South-East Asia,137574,2528.48,3256,476,3062,56.28,107,17,Clusters of cases
Ethiopia,Africa,133767,1163.56,2572,469,2066,17.97,36,3,Community transmission
Oman,Eastern Mediterranean,133044,26053.21,1254,558,1521,297.85,9,4,Community transmission
Paraguay,Americas,127081,17817.08,5433,711,2607,365.51,112,22,Community transmission
Venezuela (Bolivarian Republic of),Americas,123245,4334.13,3939,450,1142,40.16,41,6,Community transmission
Nigeria,Africa,121566,589.73,11179,964,1497,7.26,62,2,Community transmission
Bosnia and Herzegovina,Europe,120043,36589.34,2070,203,4574,1394.16,102,5,Community transmission
Libya,Eastern Mediterranean,113688,16545.36,4600,1148,1763,256.57,98,26,Community transmission
Algeria,Africa,105596,2408.06,1763,227,2863,65.29,22,2,Community transmission
China,Western Pacific,100136,68.06,1342,205,4811,3.27,7,1,Clusters of cases
Kenya,Africa,99983,1859.41,821,85,1744,32.43,13,4,Community transmission
Bahrain,Eastern Mediterranean,99817,58661.53,2210,361,367,215.68,7,0,Clusters of cases
Puerto Rico,Americas,91028,31818.48,3656,955,1773,619.75,70,2,Community transmission
North Macedonia,Europe,90654,43512.95,1716,183,2785,1336.77,83,6,Community transmission
Kyrgyzstan,Europe,83971,12870.71,793,71,1401,214.74,14,1,Clusters of cases
Uzbekistan,Europe,78429,2343.32,393,54,621,18.55,2,0,Clusters of cases
Republic of Korea,Western Pacific,75521,1473.03,2796,437,1360,26.53,96,11,Clusters of cases
Albania,Europe,72274,25114.35,4584,833,1315,456.95,38,5,Clusters of cases
Latvia,Europe,61008,32344.43,5344,512,1111,589.02,133,14,Community transmission
Norway,Europe,60803,11215.7,2358,238,544,100.35,27,0,Community transmission
Ghana,Africa,60794,1956.49,3080,679,367,11.81,21,6,Community transmission
Singapore,Western Pacific,59308,10137.53,195,48,29,4.96,0,0,Sporadic cases
Sri Lanka,South-East Asia,58430,2728.68,5368,843,283,13.22,19,3,Clusters of cases
Montenegro,Europe,58335,92880.37,2160,0,768,1222.8,22,0,Clusters of cases
Kosovo[1],Europe,58048,31202.21,2240,392,1446,777.26,46,6,Community transmission
Afghanistan,Eastern Mediterranean,54672,1404.43,610,77,2385,61.27,42,7,Clusters of cases
El Salvador,Americas,53218,8204.8,2434,546,1561,240.66,74,10,Community transmission
Luxembourg,Europe,49704,79402.15,860,123,564,900.99,12,0,Community transmission
Zambia,Africa,45337,2466.12,7732,745,639,34.76,93,12,Community transmission
Finland,Europe,41915,7564.9,1578,0,644,116.23,26,0,Community transmission
Estonia,Europe,40975,30888.74,3631,259,383,288.72,50,7,Clusters of cases
Uganda,Africa,39149,855.88,1064,105,317,6.93,13,0,Community transmission
Uruguay,Americas,36967,10641.87,5298,797,367,105.65,69,3,Community transmission
Namibia,Africa,32425,12761.2,2062,212,319,125.55,34,2,Community transmission
Mozambique,Africa,32418,1037.2,5867,790,305,9.76,64,8,Community transmission
Zimbabwe,Africa,31320,2107.26,4117,313,1005,67.62,292,31,Community transmission
Cyprus,Europe,30017,24861.7,1049,130,186,154.06,16,3,Clusters of cases
Cameroon,Africa,29617,1115.69,1607,0,462,17.4,7,0,Community transmission
Australia,Western Pacific,28766,1128.08,58,5,909,35.65,0,0,Clusters of cases
Sudan,Eastern Mediterranean,28522,650.46,205,0,1722,39.27,5,0,Community transmission
Côte d’Ivoire,Africa,26850,1017.88,1609,238,146,5.53,5,1,Community transmission
Senegal,Africa,24728,1476.83,1700,268,575,34.34,60,6,Community transmission
Democratic Republic of the Congo,Africa,21868,244.17,1176,0,660,7.37,30,0,Community transmission
Cuba,Americas,21261,1877.08,3760,634,194,17.13,28,3,Clusters of cases
Angola,Africa,19399,590.24,524,32,459,13.97,23,2,Community transmission
Malawi,Africa,19395,1013.86,6925,956,508,26.56,194,38,Community transmission
Madagascar,Africa,18743,676.86,442,442,279,10.08,6,6,Community transmission
Botswana,Africa,18630,7922.17,1982,0,88,37.42,17,0,Community transmission
French Polynesia,Western Pacific,17852,63551.06,217,0,128,455.67,2,0,Sporadic cases
Malta,Europe,16861,38186.54,1119,203,253,572.99,12,2,Clusters of cases
Mauritania,Africa,16222,3488.86,183,0,410,88.18,8,0,Community transmission
French Guiana,Americas,15664,52443.74,689,0,76,254.45,1,0,Community transmission
Maldives,South-East Asia,14993,27736.87,480,108,51,94.35,2,1,Clusters of cases
Jamaica,Americas,14879,5024.71,718,107,336,113.47,12,0,Community transmission
Eswatini,Africa,14484,12484.44,1540,154,479,412.87,103,21,Community transmission
Guinea,Africa,14319,1090.32,205,19,81,6.17,0,0,Community transmission
Tajikistan,Europe,13714,1437.88,0,0,91,9.54,0,0,Pending
Thailand,South-East Asia,13687,196.09,1264,187,75,1.07,5,2,Clusters of cases
Syrian Arab Republic,Eastern Mediterranean,13628,778.71,592,71,885,50.57,53,6,Community transmission
Cabo Verde,Africa,13489,24261.36,496,75,127,228.42,8,3,Community transmission
Rwanda,Africa,12975,1001.76,1943,328,174,13.43,32,2,Community transmission
